idx,sign,k,p_bad
952,1,6.0,0.9982668
952,-1,6.0,0.8569788
691,1,0.5,0.06112837
691,-1,0.5,0.34102294
691,1,1.0,0.55880064
691,-1,1.0,0.8231845
691,1,2.0,0.8751758
691,-1,2.0,0.98408115
691,1,3.0,0.9468764
691,-1,3.0,0.98408115
691,1,4.0,0.9775278
691,-1,4.0,0.98408115
691,1,6.0,0.994985
691,-1,6.0,0.98408115
856,1,0.5,0.013161101
856,-1,0.5,0.070295736
856,1,1.0,0.18091635
856,-1,1.0,0.47870886
856,1,2.0,0.73868215
856,-1,2.0,0.9829333
856,1,3.0,0.90731597
856,-1,3.0,0.9829333
856,1,4.0,0.9601135
856,-1,4.0,0.9829333
856,1,6.0,0.99107224
856,-1,6.0,0.9829333
156,1,0.5,0.00032552393
156,-1,0.5,9.137699e-06
156,1,1.0,0.0010915961
156,-1,1.0,2.2591246e-05
156,1,2.0,0.008442254
156,-1,2.0,0.00058446
156,1,3.0,0.06842641
156,-1,3.0,0.014582434
156,1,4.0,0.3420349
156,-1,4.0,0.3361987
156,1,6.0,0.9184055
156,-1,6.0,0.6275684
692,1,0.5,0.25546366
692,-1,0.5,0.22294606
692,1,1.0,0.7282157
692,-1,1.0,0.7650064
692,1,2.0,0.898342
692,-1,2.0,0.982589
692,1,3.0,0.9585977
692,-1,3.0,0.982589
692,1,4.0,0.981281
692,-1,4.0,0.982589
692,1,6.0,0.9957194
692,-1,6.0,0.982589
700,1,0.5,0.07342355
700,-1,0.5,0.26711193
700,1,1.0,0.58003396
